CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
LY,5132,EL AL ISRAEL AIRLINES,2025-06-18T10:15:00,2025-06-18T10:15:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,CANCELED,מבוטלת
LY,5442,EL AL ISRAEL AIRLINES,2025-06-18T08:00:00,2025-06-18T10:26:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,LANDED,נחתה
DIR,2032,FLYYO,2025-06-18T10:30:00,2025-06-18T10:30:00,A,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3,,,CANCELED,מבוטלת
BZ,752,BLUE BIRD AIRWAYS,2025-06-18T10:40:00,2025-06-18T10:40:00,D,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3,,,CANCELED,מבוטלת
6H,582,ISRAIR AIRLINES,2025-06-18T10:50:00,2025-06-18T10:50:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,CANCELED,מבוטלת
EY,593,ETIHAD AIRWAYS,2025-06-18T11:00:00,2025-06-18T11:00:00,A,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,CANCELED,מבוטלת
IZ,1162,ARKIA  ISRAELI  AIRLINES,2025-06-18T11:00:00,2025-06-18T11:00:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,CANCELED,מבוטלת
LY,9600,EL AL ISRAEL AIRLINES,2025-06-18T11:00:00,2025-06-18T11:00:00,A,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,CANCELED,מבוטלת
UA,085,UNITED AIRLINES,2025-06-18T11:00:00,2025-06-18T11:00:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,CANCELED,מבוטלת
WZ,012,RED WINGS AIRLINES,2025-06-18T11:00:00,2025-06-18T11:00:00,D,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,,,CANCELED,מבוטלת
6H,335,ISRAIR AIRLINES,2025-06-18T11:00:00,2025-06-18T11:00:00,D,CTA,CATANIA  FONTANAROSSA,קטאניה,CATANIA,איטליה,ITALY,1,,,CANCELED,מבוטלת
6H,946,ISRAIR AIRLINES,2025-06-18T09:00:00,2025-06-18T11:11:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,LANDED,נחתה
6H,175,ISRAIR AIRLINES,2025-06-18T11:20:00,2025-06-18T11:20:00,D,TIV,TIVAT,טיבאת,TIVAT,מונטנגרו,MONTENEGRO,3,,,CANCELED,מבוטלת
6H,044,ISRAIR AIRLINES,2025-06-18T11:35:00,2025-06-18T11:35:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,,,CANCELED,מבוטלת
IZ,094,ARKIA  ISRAELI  AIRLINES,2025-06-18T11:40:00,2025-06-18T11:40:00,A,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3,,,CANCELED,מבוטלת
LY,444,EL AL ISRAEL AIRLINES,2025-06-18T10:00:00,2025-06-18T11:54:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,LANDED,נחתה
J2,021,AZERBAIJAN AIRLINES,2025-06-18T11:55:00,2025-06-18T11:55:00,A,GYD,BAKU HEYDAR ALIYEV INT`L,באקו,BAKU,אזרביג'אן,AZERBAIJAN,3,,,CANCELED,מבוטלת
LY,9950,EL AL ISRAEL AIRLINES,2025-06-18T11:55:00,2025-06-18T11:55:00,A,GYD,BAKU HEYDAR ALIYEV INT`L,באקו,BAKU,אזרביג'אן,AZERBAIJAN,3,,,CANCELED,מבוטלת
6H,995,ISRAIR AIRLINES,2025-06-18T09:20:00,2025-06-18T12:04:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,DEPARTED,המריאה
IZ,074,ARKIA  ISRAELI  AIRLINES,2025-06-18T12:15:00,2025-06-18T12:15:00,A,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,3,,,CANCELED,מבוטלת
IZ,416,ARKIA  ISRAELI  AIRLINES,2025-06-18T12:15:00,2025-06-18T12:15:00,A,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3,,,CANCELED,מבוטלת
IZ,741,ARKIA  ISRAELI  AIRLINES,2025-06-18T12:15:00,2025-06-18T12:15:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,CANCELED,מבוטלת
A4,5025,AZIMUTH AIRLINES,2025-06-18T12:20:00,2025-06-18T12:20:00,A,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,,,CANCELED,מבוטלת
H4,235,HISKY EUROPE SRL,2025-06-18T12:25:00,2025-06-18T12:25:00,A,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,,,CANCELED,מבוטלת
BZ,691,BLUE BIRD AIRWAYS,2025-06-18T12:30:00,2025-06-18T12:30:00,A,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,3,,,CANCELED,מבוטלת
DIR,2033,FLYYO,2025-06-18T12:30:00,2025-06-18T12:30:00,D,BOJ,BURGAS,בורגס,BOURGAS,בולגריה,BULGARIA,3,,,CANCELED,מבוטלת
IZ,142,ARKIA  ISRAELI  AIRLINES,2025-06-18T11:00:00,2025-06-18T12:33:00,A,AOK,KARPATHOS,קרפתוס,KARPATHOS,יוון,GREECE,3,,,LANDED,נחתה
6H,115,ISRAIR AIRLINES,2025-06-18T12:35:00,2025-06-18T12:35:00,D,LTN,LUTON,לונדון לוטון,LONDON LUTON,בריטניה,UNITED KINGDOM,1,,,CANCELED,מבוטלת
6H,882,ISRAIR AIRLINES,2025-06-18T12:40:00,2025-06-18T12:40:00,A,GYD,BAKU HEYDAR ALIYEV INT`L,באקו,BAKU,אזרביג'אן,AZERBAIJAN,3,,,CANCELED,מבוטלת
IZ,296,ARKIA  ISRAELI  AIRLINES,2025-06-18T12:45:00,2025-06-18T12:45:00,A,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,,,CANCELED,מבוטלת
6H,576,ISRAIR AIRLINES,2025-06-18T12:45:00,2025-06-18T12:45:00,A,SKG,THESSALONIKI,סלוניקי,THESSALONIKI,יוון,GREECE,3,,,CANCELED,מבוטלת
IZ,212,ARKIA  ISRAELI  AIRLINES,2025-06-18T12:55:00,2025-06-18T12:55:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,CANCELED,מבוטלת
BZ,703,BLUE BIRD AIRWAYS,2025-06-18T13:00:00,2025-06-18T13:00:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,CANCELED,מבוטלת
LY,5437,EL AL ISRAEL AIRLINES,2025-06-18T10:30:00,2025-06-18T13:05:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,DEPARTED,המריאה
6H,911,ISRAIR AIRLINES,2025-06-18T13:05:00,2025-06-18T13:05:00,D,ZNZ,ZANZIBAR,זנזיבר,ZANZIBAR,טנזניה,TANZANIA,3,,,CANCELED,מבוטלת
J2,022,AZERBAIJAN AIRLINES,2025-06-18T13:10:00,2025-06-18T13:10:00,D,GYD,BAKU HEYDAR ALIYEV INT`L,באקו,BAKU,אזרביג'אן,AZERBAIJAN,3,,,CANCELED,מבוטלת
LY,9951,EL AL ISRAEL AIRLINES,2025-06-18T13:10:00,2025-06-18T13:10:00,D,GYD,BAKU HEYDAR ALIYEV INT`L,באקו,BAKU,אזרביג'אן,AZERBAIJAN,3,,,CANCELED,מבוטלת
TO,3450,TRANSAVIA FRANCE,2025-06-18T13:10:00,2025-06-18T13:10:00,A,ORY,PARIS-ORLY,פריס,PARIS,צרפת,FRANCE,3,,,CANCELED,מבוטלת
IZ,101,ARKIA  ISRAELI  AIRLINES,2025-06-18T11:30:00,2025-06-18T13:15:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,DEPARTED,המריאה
NO,9053,NEOS,2025-06-18T13:15:00,2025-06-18T13:15:00,A,BOJ,BURGAS,בורגס,BOURGAS,בולגריה,BULGARIA,3,,,CANCELED,מבוטלת
BZ,702,BLUE BIRD AIRWAYS,2025-06-18T13:25:00,2025-06-18T13:25:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,CANCELED,מבוטלת
LY,484,EL AL ISRAEL AIRLINES,2025-06-18T12:00:00,2025-06-18T13:25:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,LANDED,נחתה
H4,236,HISKY EUROPE SRL,2025-06-18T13:30:00,2025-06-18T13:30:00,D,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,,,CANCELED,מבוטלת
6H,590,ISRAIR AIRLINES,2025-06-18T13:35:00,2025-06-18T13:35:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,CANCELED,מבוטלת
A4,5026,AZIMUTH AIRLINES,2025-06-18T13:40:00,2025-06-18T13:40:00,D,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,,,CANCELED,מבוטלת
J2,4021,AZERBAIJAN AIRLINES,2025-06-18T13:40:00,2025-06-18T13:40:00,A,GYD,BAKU HEYDAR ALIYEV INT`L,באקו,BAKU,אזרביג'אן,AZERBAIJAN,3,,,CANCELED,מבוטלת
IZ,367,ARKIA  ISRAELI  AIRLINES,2025-06-18T13:50:00,2025-06-18T13:50:00,D,TIV,TIVAT,טיבאת,TIVAT,מונטנגרו,MONTENEGRO,3,,,CANCELED,מבוטלת
6H,357,ISRAIR AIRLINES,2025-06-18T13:50:00,2025-06-18T13:50:00,D,VRN,VILLAFRANCA-VERONA,ורונה,VERONA,איטליה,ITALY,1,,,CANCELED,מבוטלת
BZ,462,BLUE BIRD AIRWAYS,2025-06-18T14:00:00,2025-06-18T14:00:00,D,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,,,CANCELED,מבוטלת
CY,110,CYPRUS AIRWAYS,2025-06-18T14:05:00,2025-06-18T14:05:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,CANCELED,מבוטלת
HH,543,QANOT SHARQ,2025-06-18T14:05:00,2025-06-18T14:05:00,A,SKD,SAMARKAND,סמרקנד,SAMARKAND,אוזבקיסטן,UZBEKISTAN,3,,,CANCELED,מבוטלת
TO,3451,TRANSAVIA FRANCE,2025-06-18T14:10:00,2025-06-18T14:10:00,D,ORY,PARIS-ORLY,פריס,PARIS,צרפת,FRANCE,1,,,CANCELED,מבוטלת
IZ,223,ARKIA  ISRAELI  AIRLINES,2025-06-18T14:15:00,2025-06-18T14:15:00,D,SKG,THESSALONIKI,סלוניקי,THESSALONIKI,יוון,GREECE,3,,,CANCELED,מבוטלת
IZ,523,ARKIA  ISRAELI  AIRLINES,2025-06-18T14:20:00,2025-06-18T14:20:00,D,GVA,GENEVA,ז'נבה,GENEVA,שוויץ,SWITZERLAND,3,,,CANCELED,מבוטלת
LIL,9114,FLY LILI,2025-06-18T14:20:00,2025-06-18T14:20:00,A,ZAG,ZAGREB,זאגרב,ZAGREB,קרואטיה,CROATIA,3,,,CANCELED,מבוטלת
6H,716,ISRAIR AIRLINES,2025-06-18T13:00:00,2025-06-18T14:22:00,A,VAR,VARNA,וארנה,VARNA,בולגריה,BULGARIA,3,,,LANDED,נחתה
6H,535,ISRAIR AIRLINES,2025-06-18T14:25:00,2025-06-18T14:25:00,D,CFU,CORFU,קורפו,CORFU,יוון,GREECE,3,,,CANCELED,מבוטלת
6H,041,ISRAIR AIRLINES,2025-06-18T14:40:00,2025-06-18T14:40:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,,,CANCELED,מבוטלת
AF,966,AIR FRANCE,2025-06-18T14:45:00,2025-06-18T14:45:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,CANCELED,מבוטלת
DL,8457,DELTA AIRLINES,2025-06-18T14:45:00,2025-06-18T14:45:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,CANCELED,מבוטלת
LY,9842,EL AL ISRAEL AIRLINES,2025-06-18T14:45:00,2025-06-18T14:45:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,CANCELED,מבוטלת
EY,594,ETIHAD AIRWAYS,2025-06-18T14:50:00,2025-06-18T14:50:00,D,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,CANCELED,מבוטלת
LY,9601,EL AL ISRAEL AIRLINES,2025-06-18T14:50:00,2025-06-18T14:50:00,D,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,CANCELED,מבוטלת
BZ,751,BLUE BIRD AIRWAYS,2025-06-18T15:00:00,2025-06-18T15:00:00,A,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3,,,CANCELED,מבוטלת
6H,174,ISRAIR AIRLINES,2025-06-18T15:05:00,2025-06-18T15:05:00,A,TIV,TIVAT,טיבאת,TIVAT,מונטנגרו,MONTENEGRO,3,,,CANCELED,מבוטלת
LY,482,EL AL ISRAEL AIRLINES,2025-06-18T14:00:00,2025-06-18T15:15:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,LANDED,נחתה
CY,111,CYPRUS AIRWAYS,2025-06-18T15:25:00,2025-06-18T15:25:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,CANCELED,מבוטלת
LIL,9109,FLY LILI,2025-06-18T15:45:00,2025-06-18T15:45:00,D,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,,,CANCELED,מבוטלת
BZ,706,BLUE BIRD AIRWAYS,2025-06-18T15:55:00,2025-06-18T15:55:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,CANCELED,מבוטלת
HH,546,QANOT SHARQ,2025-06-18T15:55:00,2025-06-18T15:55:00,D,TAS,TASHKENT,טשקנט,TASHKENT,אוזבקיסטן,UZBEKISTAN,3,,,CANCELED,מבוטלת
IZ,4106,ARKIA  ISRAELI  AIRLINES,2025-06-18T15:00:00,2025-06-18T16:01:00,A,TIV,TIVAT,טיבאת,TIVAT,מונטנגרו,MONTENEGRO,3,,,LANDED,נחתה
6H,727,ISRAIR AIRLINES,2025-06-18T16:05:00,2025-06-18T16:05:00,D,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,,,CANCELED,מבוטלת
6H,345,ISRAIR AIRLINES,2025-06-18T16:15:00,2025-06-18T16:15:00,D,NAP,NAPLES-CAPODICHINO,נאפולי,NAPLES,איטליה,ITALY,3,,,CANCELED,מבוטלת
LY,443,EL AL ISRAEL AIRLINES,2025-06-18T14:30:00,2025-06-18T16:17:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,DEPARTED,המריאה
6H,515,ISRAIR AIRLINES,2025-06-18T16:20:00,2025-06-18T16:20:00,D,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,1,,,CANCELED,מבוטלת
AF,963,AIR FRANCE,2025-06-18T16:30:00,2025-06-18T16:30:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,CANCELED,מבוטלת
LY,9843,EL AL ISRAEL AIRLINES,2025-06-18T16:30:00,2025-06-18T16:30:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,CANCELED,מבוטלת
LY,422,EL AL ISRAEL AIRLINES,2025-06-18T16:00:00,2025-06-18T16:41:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
EY,597,ETIHAD AIRWAYS,2025-06-18T16:45:00,2025-06-18T16:45:00,A,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,CANCELED,מבוטלת
LY,9605,EL AL ISRAEL AIRLINES,2025-06-18T16:45:00,2025-06-18T16:45:00,A,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,CANCELED,מבוטלת
TO,3458,TRANSAVIA FRANCE,2025-06-18T17:25:00,2025-06-18T17:25:00,A,ORY,PARIS-ORLY,פריס,PARIS,צרפת,FRANCE,3,,,CANCELED,מבוטלת
6H,042,ISRAIR AIRLINES,2025-06-18T17:25:00,2025-06-18T17:25:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,,,CANCELED,מבוטלת
BZ,131,BLUE BIRD AIRWAYS,2025-06-18T17:40:00,2025-06-18T17:40:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,CANCELED,מבוטלת
LY,5439,EL AL ISRAEL AIRLINES,2025-06-18T16:30:00,2025-06-18T17:44:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,DEPARTED,המריאה
6H,990,ISRAIR AIRLINES,2025-06-18T17:00:00,2025-06-18T18:04:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,LANDED,נחתה
TO,3459,TRANSAVIA FRANCE,2025-06-18T18:25:00,2025-06-18T18:25:00,D,ORY,PARIS-ORLY,פריס,PARIS,צרפת,FRANCE,1,,,CANCELED,מבוטלת
BZ,701,BLUE BIRD AIRWAYS,2025-06-18T18:30:00,2025-06-18T18:30:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,CANCELED,מבוטלת
6H,785,ISRAIR AIRLINES,2025-06-18T17:20:00,2025-06-18T18:49:00,D,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,,,DEPARTED,המריאה
BZ,271,BLUE BIRD AIRWAYS,2025-06-18T19:00:00,2025-06-18T19:00:00,A,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,,,CANCELED,מבוטלת
BZ,251,BLUE BIRD AIRWAYS,2025-06-18T19:25:00,2025-06-18T19:25:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,,,CANCELED,מבוטלת
EY,598,ETIHAD AIRWAYS,2025-06-18T20:05:00,2025-06-18T20:05:00,D,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,CANCELED,מבוטלת
LY,9607,EL AL ISRAEL AIRLINES,2025-06-18T20:05:00,2025-06-18T20:05:00,D,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,CANCELED,מבוטלת
IZ,224,ARKIA  ISRAELI  AIRLINES,2025-06-18T20:30:00,2025-06-18T20:30:00,A,SKG,THESSALONIKI,סלוניקי,THESSALONIKI,יוון,GREECE,3,,,CANCELED,מבוטלת
IZ,368,ARKIA  ISRAELI  AIRLINES,2025-06-18T20:50:00,2025-06-18T20:50:00,A,TIV,TIVAT,טיבאת,TIVAT,מונטנגרו,MONTENEGRO,3,,,CANCELED,מבוטלת
BZ,705,BLUE BIRD AIRWAYS,2025-06-18T21:05:00,2025-06-18T21:05:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,CANCELED,מבוטלת
IZ,170,ARKIA  ISRAELI  AIRLINES,2025-06-18T21:45:00,2025-06-18T21:45:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,CANCELED,מבוטלת
H7,457,HISKY,2025-06-18T22:40:00,2025-06-18T22:40:00,A,RMO,CHISINAU,קישינב,CHISINAU,מולדוביה,MOLDOVA,3,,,CANCELED,מבוטלת
IZ,292,ARKIA  ISRAELI  AIRLINES,2025-06-18T22:40:00,2025-06-18T22:40:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,,,CANCELED,מבוטלת
BZ,461,BLUE BIRD AIRWAYS,2025-06-18T22:45:00,2025-06-18T22:45:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,,,CANCELED,מבוטלת
IZ,742,ARKIA  ISRAELI  AIRLINES,2025-06-18T23:15:00,2025-06-18T23:15:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,CANCELED,מבוטלת
H7,458,HISKY,2025-06-18T23:40:00,2025-06-18T23:40:00,D,RMO,CHISINAU,קישינב,CHISINAU,מולדוביה,MOLDOVA,3,,,CANCELED,מבוטלת
IZ,524,ARKIA  ISRAELI  AIRLINES,2025-06-19T00:00:00,2025-06-19T00:00:00,A,GVA,GENEVA,ז'נבה,GENEVA,שוויץ,SWITZERLAND,3,,,CANCELED,מבוטלת
LIL,9110,FLY LILI,2025-06-19T00:05:00,2025-06-19T00:05:00,A,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,,,CANCELED,מבוטלת
IZ,214,ARKIA  ISRAELI  AIRLINES,2025-06-19T02:00:00,2025-06-19T02:00:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,CANCELED,מבוטלת
IZ,165,ARKIA  ISRAELI  AIRLINES,2025-06-19T05:55:00,2025-06-19T05:55:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,CANCELED,מבוטלת
IZ,211,ARKIA  ISRAELI  AIRLINES,2025-06-19T06:20:00,2025-06-19T06:20:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,1,,,CANCELED,מבוטלת
LIL,9103,FLY LILI,2025-06-19T06:30:00,2025-06-19T06:30:00,D,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,,,CANCELED,מבוטלת
6H,041,ISRAIR AIRLINES,2025-06-19T06:30:00,2025-06-19T06:30:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,,,CANCELED,מבוטלת
IZ,413,ARKIA  ISRAELI  AIRLINES,2025-06-19T07:00:00,2025-06-19T07:00:00,D,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,1,,,CANCELED,מבוטלת
IZ,091,ARKIA  ISRAELI  AIRLINES,2025-06-19T07:30:00,2025-06-19T07:30:00,D,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,1,,,CANCELED,מבוטלת
BZ,704,BLUE BIRD AIRWAYS,2025-06-19T07:50:00,2025-06-19T07:50:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,CANCELED,מבוטלת
LY,5418,EL AL ISRAEL AIRLINES,2025-06-19T08:00:00,2025-06-19T08:00:00,A,PFO,PAPHOS,פאפוס,PAPHOS,קפריסין,CYPRUS,3,,,CANCELED,מבוטלת
LY,5438,EL AL ISRAEL AIRLINES,2025-06-19T06:00:00,2025-06-19T08:03:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,LANDED,נחתה
IZ,121,ARKIA  ISRAELI  AIRLINES,2025-06-19T08:05:00,2025-06-19T08:05:00,D,JMK,MIKONOS,מיקונוס,MYKONOS,יוון,GREECE,3,,,CANCELED,מבוטלת
BZ,562,BLUE BIRD AIRWAYS,2025-06-19T08:10:00,2025-06-19T08:10:00,D,BOJ,BURGAS,בורגס,BOURGAS,בולגריה,BULGARIA,3,,,CANCELED,מבוטלת
BZ,752,BLUE BIRD AIRWAYS,2025-06-19T08:20:00,2025-06-19T08:20:00,D,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3,,,CANCELED,מבוטלת
LY,440,EL AL ISRAEL AIRLINES,2025-06-19T08:00:00,2025-06-19T08:25:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,LANDED,נחתה
BZ,802,BLUE BIRD AIRWAYS,2025-06-19T08:35:00,2025-06-19T08:35:00,D,KGS,KOS,קוס,KOS,יוון,GREECE,3,,,CANCELED,מבוטלת
BZ,756,BLUE BIRD AIRWAYS,2025-06-19T08:40:00,2025-06-19T08:40:00,D,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3,,,CANCELED,מבוטלת
BZ,888,BLUE BIRD AIRWAYS,2025-06-19T08:55:00,2025-06-19T08:55:00,D,JMK,MIKONOS,מיקונוס,MYKONOS,יוון,GREECE,3,,,CANCELED,מבוטלת
BZ,692,BLUE BIRD AIRWAYS,2025-06-19T09:00:00,2025-06-19T09:00:00,D,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,3,,,CANCELED,מבוטלת
IZ,053,ARKIA  ISRAELI  AIRLINES,2025-06-19T09:00:00,2025-06-19T09:00:00,D,CFU,CORFU,קורפו,CORFU,יוון,GREECE,3,,,CANCELED,מבוטלת
IZ,166,ARKIA  ISRAELI  AIRLINES,2025-06-19T09:00:00,2025-06-19T09:00:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,CANCELED,מבוטלת
6H,049,ISRAIR AIRLINES,2025-06-19T09:00:00,2025-06-19T09:00:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,,,CANCELED,מבוטלת
IZ,1071,ARKIA  ISRAELI  AIRLINES,2025-06-19T09:15:00,2025-06-19T09:15:00,D,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,1,,,CANCELED,מבוטלת
IZ,2202,ARKIA  ISRAELI  AIRLINES,2025-06-19T07:00:00,2025-06-19T09:19:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,LANDED,נחתה
IZ,1161,ARKIA  ISRAELI  AIRLINES,2025-06-19T09:30:00,2025-06-19T09:30:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,1,,,CANCELED,מבוטלת
6H,524,ISRAIR AIRLINES,2025-06-19T09:00:00,2025-06-19T09:43:00,A,JMK,MIKONOS,מיקונוס,MYKONOS,יוון,GREECE,3,,,LANDED,נחתה
LY,5440,EL AL ISRAEL AIRLINES,2025-06-19T10:00:00,2025-06-19T10:00:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,NOT FINAL,לא סופי
HU,7957,HAINAN AIRLINES,2025-06-19T10:25:00,2025-06-19T10:25:00,A,PEK,BEIJING,בייג'ינג,BEIJING,סין,CHINA,3,,,CANCELED,מבוטלת
IZ,741,ARKIA  ISRAELI  AIRLINES,2025-06-19T10:30:00,2025-06-19T10:30:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,CANCELED,מבוטלת
IZ,369,ARKIA  ISRAELI  AIRLINES,2025-06-19T10:40:00,2025-06-19T10:40:00,D,TIV,TIVAT,טיבאת,TIVAT,מונטנגרו,MONTENEGRO,3,,,CANCELED,מבוטלת
IZ,1162,ARKIA  ISRAELI  AIRLINES,2025-06-19T11:05:00,2025-06-19T11:05:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,CANCELED,מבוטלת
