CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
A4,5026,AZIMUTH AIRLINES,2025-06-20T13:50:00,2025-06-20T13:50:00,D,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,,,CANCELED,מבוטלת
IZ,804,ARKIA  ISRAELI  AIRLINES,2025-06-20T14:00:00,2025-06-20T14:00:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,,,CANCELED,מבוטלת
IZ,368,ARKIA  ISRAELI  AIRLINES,2025-06-20T14:05:00,2025-06-20T14:05:00,A,TIV,TIVAT,טיבאת,TIVAT,מונטנגרו,MONTENEGRO,3,,,CANCELED,מבוטלת
IZ,513,ARKIA  ISRAELI  AIRLINES,2025-06-20T14:10:00,2025-06-20T14:10:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,1,,,CANCELED,מבוטלת
IZ,1163,ARKIA  ISRAELI  AIRLINES,2025-06-20T14:25:00,2025-06-20T14:25:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,CANCELED,מבוטלת
IZ,098,ARKIA  ISRAELI  AIRLINES,2025-06-20T14:30:00,2025-06-20T14:30:00,A,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3,,,CANCELED,מבוטלת
BZ,462,BLUE BIRD AIRWAYS,2025-06-20T14:40:00,2025-06-20T14:40:00,D,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,,,CANCELED,מבוטלת
BZ,754,BLUE BIRD AIRWAYS,2025-06-20T14:45:00,2025-06-20T14:45:00,D,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3,,,CANCELED,מבוטלת
IZ,805,ARKIA  ISRAELI  AIRLINES,2025-06-20T15:00:00,2025-06-20T15:00:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,,,CANCELED,מבוטלת
BZ,441,BLUE BIRD AIRWAYS,2025-06-20T15:15:00,2025-06-20T15:15:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,,,CANCELED,מבוטלת
IZ,224,ARKIA  ISRAELI  AIRLINES,2025-06-20T15:15:00,2025-06-20T15:15:00,A,SKG,THESSALONIKI,סלוניקי,THESSALONIKI,יוון,GREECE,3,,,CANCELED,מבוטלת
IZ,074,ARKIA  ISRAELI  AIRLINES,2025-06-20T15:30:00,2025-06-20T15:30:00,A,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,3,,,CANCELED,מבוטלת
IZ,387,ARKIA  ISRAELI  AIRLINES,2025-06-20T16:15:00,2025-06-20T16:15:00,D,BEG,BELGRADE,בלגרד,BELGRADE,סרביה,SERBIA,1,,,CANCELED,מבוטלת
BZ,702,BLUE BIRD AIRWAYS,2025-06-20T16:20:00,2025-06-20T16:20:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,CANCELED,מבוטלת
IZ,1291,ARKIA  ISRAELI  AIRLINES,2025-06-20T16:45:00,2025-06-20T16:45:00,D,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,1,,,CANCELED,מבוטלת
IZ,220,ARKIA  ISRAELI  AIRLINES,2025-06-20T16:55:00,2025-06-20T16:55:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,CANCELED,מבוטלת
IZ,213,ARKIA  ISRAELI  AIRLINES,2025-06-20T17:00:00,2025-06-20T17:00:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,CANCELED,מבוטלת
BZ,801,BLUE BIRD AIRWAYS,2025-06-20T17:15:00,2025-06-20T17:15:00,A,KGS,KOS,קוס,KOS,יוון,GREECE,3,,,CANCELED,מבוטלת
IZ,056,ARKIA  ISRAELI  AIRLINES,2025-06-20T17:15:00,2025-06-20T17:15:00,A,CFU,CORFU,קורפו,CORFU,יוון,GREECE,3,,,CANCELED,מבוטלת
IZ,806,ARKIA  ISRAELI  AIRLINES,2025-06-20T17:20:00,2025-06-20T17:20:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,,,CANCELED,מבוטלת
IZ,1164,ARKIA  ISRAELI  AIRLINES,2025-06-20T17:30:00,2025-06-20T17:30:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,CANCELED,מבוטלת
IZ,282,ARKIA  ISRAELI  AIRLINES,2025-06-20T17:35:00,2025-06-20T17:35:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,,,CANCELED,מבוטלת
BZ,707,BLUE BIRD AIRWAYS,2025-06-20T17:45:00,2025-06-20T17:45:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,CANCELED,מבוטלת
IZ,214,ARKIA  ISRAELI  AIRLINES,2025-06-20T22:55:00,2025-06-20T22:55:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,CANCELED,מבוטלת
IZ,388,ARKIA  ISRAELI  AIRLINES,2025-06-20T23:10:00,2025-06-20T23:10:00,A,BEG,BELGRADE,בלגרד,BELGRADE,סרביה,SERBIA,3,,,CANCELED,מבוטלת
IZ,292,ARKIA  ISRAELI  AIRLINES,2025-06-21T00:55:00,2025-06-21T00:55:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,,,CANCELED,מבוטלת
IZ,514,ARKIA  ISRAELI  AIRLINES,2025-06-21T01:55:00,2025-06-21T01:55:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,CANCELED,מבוטלת
IZ,365,ARKIA  ISRAELI  AIRLINES,2025-06-21T06:15:00,2025-06-21T06:15:00,D,SJJ,SARAJEVO,סראייבו,SARAJEVO,בוסניה,BOSNIA,3,,,CANCELED,מבוטלת
IZ,171,ARKIA  ISRAELI  AIRLINES,2025-06-21T07:20:00,2025-06-21T07:20:00,D,PVK,PREVEZA,פרבצה,PREVEZA,יוון,GREECE,3,,,CANCELED,מבוטלת
IZ,215,ARKIA  ISRAELI  AIRLINES,2025-06-21T07:45:00,2025-06-21T07:45:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,CANCELED,מבוטלת
IZ,743,ARKIA  ISRAELI  AIRLINES,2025-06-21T07:45:00,2025-06-21T07:45:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,CANCELED,מבוטלת
IZ,093,ARKIA  ISRAELI  AIRLINES,2025-06-21T08:15:00,2025-06-21T08:15:00,D,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,1,,,CANCELED,מבוטלת
IZ,219,ARKIA  ISRAELI  AIRLINES,2025-06-21T08:30:00,2025-06-21T08:30:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,CANCELED,מבוטלת
IZ,367,ARKIA  ISRAELI  AIRLINES,2025-06-21T09:30:00,2025-06-21T09:30:00,D,TIV,TIVAT,טיבאת,TIVAT,מונטנגרו,MONTENEGRO,3,,,CANCELED,מבוטלת
BZ,752,BLUE BIRD AIRWAYS,2025-06-21T11:30:00,2025-06-21T11:30:00,D,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3,,,CANCELED,מבוטלת
IZ,094,ARKIA  ISRAELI  AIRLINES,2025-06-21T12:45:00,2025-06-21T12:45:00,A,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3,,,CANCELED,מבוטלת
A4,5025,AZIMUTH AIRLINES,2025-06-21T12:50:00,2025-06-21T12:50:00,A,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,,,CANCELED,מבוטלת
BZ,703,BLUE BIRD AIRWAYS,2025-06-21T13:00:00,2025-06-21T13:00:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,CANCELED,מבוטלת
IZ,216,ARKIA  ISRAELI  AIRLINES,2025-06-21T13:05:00,2025-06-21T13:05:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,CANCELED,מבוטלת
IZ,172,ARKIA  ISRAELI  AIRLINES,2025-06-21T13:20:00,2025-06-21T13:20:00,A,PVK,PREVEZA,פרבצה,PREVEZA,יוון,GREECE,3,,,CANCELED,מבוטלת
IZ,1841,ARKIA  ISRAELI  AIRLINES,2025-06-21T13:30:00,2025-06-21T13:30:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,,,CANCELED,מבוטלת
IZ,366,ARKIA  ISRAELI  AIRLINES,2025-06-21T13:45:00,2025-06-21T13:45:00,A,SJJ,SARAJEVO,סראייבו,SARAJEVO,בוסניה,BOSNIA,3,,,CANCELED,מבוטלת
A4,5026,AZIMUTH AIRLINES,2025-06-21T13:50:00,2025-06-21T13:50:00,D,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,,,CANCELED,מבוטלת
IZ,220,ARKIA  ISRAELI  AIRLINES,2025-06-21T13:55:00,2025-06-21T13:55:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,CANCELED,מבוטלת
BZ,702,BLUE BIRD AIRWAYS,2025-06-21T14:00:00,2025-06-21T14:00:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,CANCELED,מבוטלת
IZ,095,ARKIA  ISRAELI  AIRLINES,2025-06-21T14:00:00,2025-06-21T14:00:00,D,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3,,,CANCELED,מבוטלת
IZ,1161,ARKIA  ISRAELI  AIRLINES,2025-06-21T14:00:00,2025-06-21T14:00:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,1,,,CANCELED,מבוטלת
IZ,415,ARKIA  ISRAELI  AIRLINES,2025-06-21T14:00:00,2025-06-21T14:00:00,D,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3,,,CANCELED,מבוטלת
